NIC statistics:
     tx_packets: 25
     tx_bytes: 3086
     rx_packets: 3115860
     rx_bytes: 315941320
     tx_tso: 0
     tx_tso_bytes: 0
     tx_csum_none: 0
     tx_csum: 0
     rx_csum_none: 0
     rx_csum_complete: 0
     rx_csum_error: 0
     hw_tx_dropped: 0
     hw_rx_dropped: 0
     hw_rx_over_errors: 0
     hw_rx_missed_errors: 0
     hw_tx_aborted_errors: 0
     xdp_drop: 0
     xdp_aborted: 0
     xdp_pass: 0
     xdp_tx: 0
     xdp_redirect: 0
     xdp_frames: 0
     frames_rx_ok: 283924076469
     frames_rx_all: 283924076469
     frames_rx_bad_fcs: 0
     frames_rx_bad_all: 0
     octets_rx_ok: 306471174847120
     octets_rx_all: 306471174847120
     frames_rx_unicast: 283915811385
     frames_rx_multicast: 7534632
     frames_rx_broadcast: 730452
     frames_rx_pause: 0
     frames_rx_bad_length: 0
     frames_rx_undersized: 0
     frames_rx_oversized: 0
     frames_rx_fragments: 0
     frames_rx_jabber: 0
     frames_rx_pripause: 0
     frames_rx_stomped_crc: 0
     frames_rx_too_long: 0
     frames_rx_vlan_good: 0
     frames_rx_dropped: 0
     frames_rx_less_than_64b: 0
     frames_rx_64b: 4648431
     frames_rx_65b_127b: 1842183526
     frames_rx_128b_255b: 643048
     frames_rx_256b_511b: 21604388
     frames_rx_512b_1023b: 19162783
     frames_rx_1024b_1518b: 282035834293
     frames_rx_1519b_2047b: 0
     frames_rx_2048b_4095b: 0
     frames_rx_4096b_8191b: 0
     frames_rx_8192b_9215b: 0
     frames_rx_other: 0
     frames_tx_ok: 470001797593
     frames_tx_all: 470001797593
     frames_tx_bad: 0
     octets_tx_ok: 509011967971838
     octets_tx_total: 509011967971838
     frames_tx_unicast: 470001761229
     frames_tx_multicast: 32467
     frames_tx_broadcast: 3897
     frames_tx_pause: 0
     frames_tx_pripause: 0
     frames_tx_vlan: 0
     frames_tx_less_than_64b: 0
     frames_tx_64b: 1747
     frames_tx_65b_127b: 1387469367
     frames_tx_128b_255b: 3752
     frames_tx_256b_511b: 20722283
     frames_tx_512b_1023b: 23361153
     frames_tx_1024b_1518b: 468570239291
     frames_tx_1519b_2047b: 0
     frames_tx_2048b_4095b: 0
     frames_tx_4096b_8191b: 0
     frames_tx_8192b_9215b: 0
     frames_tx_other: 0
     frames_tx_pri_0: 0
     frames_tx_pri_1: 0
     frames_tx_pri_2: 0
     frames_tx_pri_3: 0
     frames_tx_pri_4: 0
     frames_tx_pri_5: 0
     frames_tx_pri_6: 0
     frames_tx_pri_7: 0
     frames_rx_pri_0: 0
     frames_rx_pri_1: 0
     frames_rx_pri_2: 0
     frames_rx_pri_3: 0
     frames_rx_pri_4: 0
     frames_rx_pri_5: 0
     frames_rx_pri_6: 0
     frames_rx_pri_7: 0
     tx_pripause_0_1us_count: 0
     tx_pripause_1_1us_count: 0
     tx_pripause_2_1us_count: 0
     tx_pripause_3_1us_count: 0
     tx_pripause_4_1us_count: 0
     tx_pripause_5_1us_count: 0
     tx_pripause_6_1us_count: 0
     tx_pripause_7_1us_count: 0
     rx_pripause_0_1us_count: 0
     rx_pripause_1_1us_count: 0
     rx_pripause_2_1us_count: 0
     rx_pripause_3_1us_count: 0
     rx_pripause_4_1us_count: 0
     rx_pripause_5_1us_count: 0
     rx_pripause_6_1us_count: 0
     rx_pripause_7_1us_count: 0
     rx_pause_1us_count: 0
     frames_tx_truncated: 0
     tx_0_pkts: 0
     tx_0_bytes: 0
     tx_0_clean: 0
     tx_0_dma_map_err: 0
     tx_0_linearize: 0
     tx_0_tso: 0
     tx_0_tso_bytes: 0
     tx_0_hwstamp_valid: 0
     tx_0_hwstamp_invalid: 0
     tx_0_xdp_frames: 0
     tx_1_pkts: 0
     tx_1_bytes: 0
     tx_1_clean: 0
     tx_1_dma_map_err: 0
     tx_1_linearize: 0
     tx_1_tso: 0
     tx_1_tso_bytes: 0
     tx_1_hwstamp_valid: 0
     tx_1_hwstamp_invalid: 0
     tx_1_xdp_frames: 0
     tx_2_pkts: 0
     tx_2_bytes: 0
     tx_2_clean: 0
     tx_2_dma_map_err: 0
     tx_2_linearize: 0
     tx_2_tso: 0
     tx_2_tso_bytes: 0
     tx_2_hwstamp_valid: 0
     tx_2_hwstamp_invalid: 0
