2024/09/29 14:50:08 config.go:38: Running Config :config.json
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_EDGE_TEMPERATURE set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_UNCORRECT_BIF set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_CORRECT_MP0 set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: PCIE_REPLAY_COUNT set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_POWER_USAGE set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_USAGE set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_UNCORRECT_MMHUB set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_UNCORRECT_UMC set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: PCIE_BANDWIDTH set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: PCIE_RX set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_CORRECT_SDMA set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_UNCORRECT_MP1 set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_XGMI_NBR_0_RESP_TX set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_AVERAGE_PACKAGE_POWER set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_HBM_TEMPERATURE set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_CLOCK set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_CORRECT_ATHUB set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_UNCORRECT_DF set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_CORRECT_MP1 set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_XGMI_NBR_1_RESP_TX set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_XGMI_NBR_1_BEATS_TX set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_GFX_ACTIVITY set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_VOLTAGE set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_CORRECT_HDP set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_CORRECT_FUSE set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_XGMI_NBR_1_REQ_TX set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ENERGY_CONSUMED set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_UNCORRECT_HDP set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_UNCORRECT_XGMI_WAFL set to true
2024/09/29 14:50:08 gpuagent_metrics.go:173: GPU_ECC_CORRECT_SMN set to true
